deployment_mode,scenario,metric,statistic,value,run_count
cloud_only,fault_alternate,cloud_escalations,mean,14.2,5
cloud_only,fault_alternate,cloud_escalations,median,17.0,5
cloud_only,fault_alternate,cloud_escalations,std,7.395944834840238,5
cloud_only,fault_alternate,cloud_escalations,p95,18.0,5
cloud_only,fault_alternate,cloud_escalations,min,1.0,5
cloud_only,fault_alternate,cloud_escalations,max,18.0,5
cloud_only,fault_alternate,decision_time_ms_count,count,5,5
cloud_only,fault_alternate,decision_time_ms_count,mean,27.0,5
cloud_only,fault_alternate,decision_time_ms_count,median,31.0,5
cloud_only,fault_alternate,decision_time_ms_count,std,10.074720839804943,5
cloud_only,fault_alternate,decision_time_ms_count,p95,32.0,5
cloud_only,fault_alternate,decision_time_ms_count,min,9.0,5
cloud_only,fault_alternate,decision_time_ms_count,max,32.0,5
cloud_only,fault_alternate,decision_time_ms_max,count,5,5
cloud_only,fault_alternate,decision_time_ms_max,mean,0.5371570587158203,5
cloud_only,fault_alternate,decision_time_ms_max,median,0.38123130798339844,5
cloud_only,fault_alternate,decision_time_ms_max,std,0.2683795353886995,5
cloud_only,fault_alternate,decision_time_ms_max,p95,0.8700847625732422,5
cloud_only,fault_alternate,decision_time_ms_max,min,0.3008842468261719,5
cloud_only,fault_alternate,decision_time_ms_max,max,0.9014606475830078,5
cloud_only,fault_alternate,decision_time_ms_mean,count,5,5
cloud_only,fault_alternate,decision_time_ms_mean,mean,0.19339966624441113,5
cloud_only,fault_alternate,decision_time_ms_mean,median,0.20429491996765137,5
cloud_only,fault_alternate,decision_time_ms_mean,std,0.046791413244093125,5
cloud_only,fault_alternate,decision_time_ms_mean,p95,0.2257870089623236,5
cloud_only,fault_alternate,decision_time_ms_mean,min,0.11168585883246528,5
cloud_only,fault_alternate,decision_time_ms_mean,max,0.22721290588378906,5
cloud_only,fault_alternate,decision_time_ms_median,count,5,5
cloud_only,fault_alternate,decision_time_ms_median,mean,0.20928382873535156,5
cloud_only,fault_alternate,decision_time_ms_median,median,0.23508071899414062,5
cloud_only,fault_alternate,decision_time_ms_median,std,0.0666292275206868,5
cloud_only,fault_alternate,decision_time_ms_median,p95,0.25000572204589844,5
cloud_only,fault_alternate,decision_time_ms_median,min,0.09131431579589844,5
cloud_only,fault_alternate,decision_time_ms_median,max,0.25200843811035156,5
cloud_only,fault_alternate,decision_time_ms_min,count,5,5
cloud_only,fault_alternate,decision_time_ms_min,mean,0.07042884826660156,5
cloud_only,fault_alternate,decision_time_ms_min,median,0.07104873657226562,5
cloud_only,fault_alternate,decision_time_ms_min,std,0.0019990228477720817,5
cloud_only,fault_alternate,decision_time_ms_min,p95,0.07214546203613281,5
cloud_only,fault_alternate,decision_time_ms_min,min,0.06723403930664062,5
